size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
4,3.52,FaitalPRO,4FE32,294-1120,4,30,91,1.73,100,0.08,0.5,0.05,160,0.13,77,90,20000
4,3.52,FaitalPRO,4FE32,294-1121,8,30,91,2.73,100,0.07,0.6,0.09,133,0.16,67,90,20000
4,3.52,FaitalPRO,4FE32,294-1122,16,30,91,1.83,100,0.06,0.8,0.18,103,0.24,59,90,20000
4,3.52,FaitalPRO,4FE35,294-1123,4,30,91,1.73,100,0.07,0.73,0.23,110,0.24,61,90,20000
4,3.52,FaitalPRO,4FE35,294-1124,8,30,91,2.73,100,0.07,0.84,0.2,100,0.31,59,90,20000
4,3.52,FaitalPRO,4FE35,294-1125,16,30,91,1.83,100,0.07,1.16,0.13,92,0.58,56,90,20000
4,3.75,GRS,4PF-8,292-404,4,40,84,2.5,98,0.12,1.34,0.09,104,1.26,53,100,10000
3,2.82,FaitalPRO,3FE22,294-1100,4,20,91,1.73,110,0.04,0.36,0.01,244,0.02,142,100,20000
3,2.82,FaitalPRO,3FE22,294-1101,8,20,91,1.83,110,0.04,0.47,0.02,187,0.05,91,100,20000
3,2.82,FaitalPRO,3FE22,294-1102,16,20,91,1.83,110,0.04,0.56,0.04,157,0.08,85,100,20000
3,2.82,FaitalPRO,3FE25,294-1103,4,20,91,1.73,110,0.04,0.6,0.05,146,0.09,73,100,20000
3,2.82,FaitalPRO,3FE25,294-1104,8,20,91,1.83,110,0.04,0.7,0.13,125,0.12,68,100,20000
3,2.82,FaitalPRO,3FE25,294-1105,16,20,90,1.83,110,0.04,0.82,0.12,112,0.17,64,100,20000
2,1.83,Vifa,NE65W-04,264-1046,4,20,82.2,1.65,166,0.006,0.65,0.01,206,0.02,105,150,18000
2.5,2.25,Vifa,NE85W-04,264-1052,4,20,82.7,1.75,105,0.03,0.64,0.05,131,0.08,68,100,20000
3,2.55,Vifa,NE95W-04,264-1058,4,20,83.7,1.75,103,0.04,0.72,0.14,114,0.13,63,100,20000
