size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
12,11,PE,SQ.Frame black,290-916,8,80,90,4.25,34.8,5.87,0.69,8.32,45,17,23,35,3000
15,14,PE,SQ.Frame white,290-918,8,100,91,4.25,25.4,14.73,0.68,18.4,34,41.43,17,25,2500
15,14,PE,SQ.Frame black,290-920,8,100,91,4.25,25.4,14.73,0.68,18.4,34,41.43,17,25,2500
5.25,4.19,Pyle,PDMW5,292-202,8,100,88.3,2.5,108,0.1,0.77,0.18,123,0.36,65,110,7000
6.5,5.63,Pyle,PDMW6,292-204,8,125,86.9,3.3,67,0.36,0.8,0.62,75,1.39,40,70,9000
12,11.15,Lanzar,OPTI1232D,293-481,2,1100,88,14,29.06,1.56,0.48,0.67,52,2.2,26,26,800
12,11.15,Lanzar,MAX12,293-483,4,500,91.9,10,35.1,3.46,0.57,2.52,53,6.91,27,30,600
12,11.15,Lanzar,MAX12D,293-484,4,500,88,10,33.6,3.19,0.47,1.28,61,4.2,32,30,600
12,11.16,TC Sounds,Axis 12Q1,293-638,1.2 x 4,1000,85.4,26.5,27.8,1.41,0.35,0.26,68,0.69,40,15,150
15,14.02,TC Sounds,Axis 15Q1,293-642,1.2 x 4,1000,87.5,26.5,23,4.51,0.39,1.1,50,3.17,28,15,150
12,11.05,TC Sounds,Epic 12,293-650,2+2,500,86.6,22.9,24,3.22,0.39,0.79,53,2.26,30,15,150
10,9.26,TC Sounds,Epic 10,293-656,2+2,500,85.2,22.9,24.3,1.75,0.31,0.25,67,0.57,42,15,150
12,11.16,TC Sounds,LMS-R,293-657,2+2,1000,84.5,29.4,28,1.38,0.43,0.44,56,1.35,30,15,150
15,14.02,TC Sounds,LMS-R,293-662,2+2,1000,86.9,29.4,23.6,4.33,0.45,1.53,45,4.92,24,15,150
18,16.83,TC Sounds,LMS Ultra 5400,293-666,2+2,2000,89.7,38.1,20.5,8.5,0.33,1.38,53,3.4,33,15,150
8,7.1875,Dayton Audio,ST210-8,295-100,8,180,90,5.55,51.7,0.87,0.49,0.35,96,1.03,53,45,3000
10,9,Dayton Audio,ST255-8,295-110,8,250,91.7,5.5,41.1,1.72,0.31,0.42,91,1,56,35,3000
12,11,Dayton Audio,ST305-8,295-120,8,275,92,8,27,4.52,0.34,1,68,2.52,41,25,2000
15,13.875,Dayton Audio,ST385-8,295-130,8,300,89.5,7.9,18.8,10.63,0.32,1.67,48,4.27,29,20,1000
12,11,Dayton Audio,DV310-88,295-185,8,350,87.4,15.1,22.2,4.26,0.38,0.91,51,2.5,29,20,450
8,7.25,Dayton Audio,DCS205-4,295-200,4,150,87,8.8,30.2,1.19,0.33,0.19,78,0.48,48,30,200
10,8.875,Dayton Audio,DCS255-4,295-202,4,200,89,8.3,30.9,1.69,0.34,0.3,78,0.75,47,31,200
12,11,Dayton Audio,DCS305-4,295-204,4,250,89.4,9.3,22.9,4.12,0.41,1.14,48,3.42,26,23,200
15,14,Dayton Audio,DCS385-4,295-206,4,300,90.2,9.3,19.5,12.59,0.43,3.83,39,12.26,22,19,200
5.25,4.75,Dayton Audio,DC130AS-8,295-300,8,30,88,2.5,56.5,0.37,0.51,0.19,95,0.6,47,55,4000
5.25,4.75,Dayton Audio,DC130BS-8,295-301,8,30,88,2.5,61.2,0.31,0.45,0.11,116,0.35,61,55,4000
5.25,4.75,Dayton Audio,DC130BS-4,295-302,4,30,88.8,2.5,58.5,0.4,0.42,0.12,119,0.36,64,55,4000
6.5,5.75,Dayton Audio,DC160-8,295-305,8,50,88,3.15,34.3,0.87,0.33,0.14,89,0.34,54,30,4000
6.5,5.75,Dayton Audio,DC160S-8,295-306,8,50,87,3.15,32.3,0.86,0.29,0.1,95,0.24,60,33,4000
6.5,5.75,Dayton Audio,DC160S-4,295-308,4,50,86,3.4,37.7,0.77,0.36,0.15,90,0.41,52,33,4000
8,7.3125,Dayton Audio,DC200-8,295-310,8,60,88,4.5,31,1.78,0.4,0.46,66,1.36,37,29,3000
10,9.3125,Dayton Audio,DC250-8,295-315,8,70,89,4.5,28.9,3.93,0.45,1.39,55,4.47,29,25,2500
12,11,Dayton Audio,DC300-8,295-320,8,80,90.5,4.3,26.2,4.7,0.43,1.47,52,4.58,28,25,2500
15,14,Dayton Audio,DC380-8,295-325,8,100,92.8,4.35,21.5,10.79,0.35,2,53,5.27,32,20,1500
4,3.6875,Dayton Audio,DA115-8,295-328,8,20,84.9,2.5,60,0.16,0.41,0.04,125,0.13,68,60,15000
5.25,4.5,Dayton Audio,DA135-8,295-330,8,30,85,3,56.5,0.26,0.54,0.16,89,0.47,44,50,15000
8,7.0625,Dayton Audio,DA215-8,295-332,8,60,88.7,5.3,34.9,1.51,0.37,0.32,81,0.89,46,35,8000
10,9,Dayton Audio,DA270-8,295-334,8,80,88.2,6.1,27.8,3.83,0.43,1.2,55,3.74,30,25,6000
7,5.625,Dayton Audio,DA175-8,295-335,8,50,85,4.25,39,0.58,0.58,0.46,57,1.2,28,35,10000
3,2.1875,Dayton Audio,RS75T-8,295-336,8,15,82.7,1.3,164.9,0.01,0.89,0.02,175.2,0.05,96,160,20000
4,3.0625,Dayton Audio,RS100T-8,295-338,8,25,84.3,3.7,82.5,0.07,0.52,0.04,136,0.12,67,80,20000
5,3.75,Dayton Audio,RS125T-8,295-340,8,30,87,2.8,74.9,0.14,0.47,0.06,136,0.18,70,70,15000
6,4.8125,Dayton Audio,RS150T-8,295-342,8,40,87.6,4,61.2,0.34,0.51,0.18,103,0.55,51,55,3500
6.5,5.7,Dayton Audio,PS180-8,295-344,8,30,94.7,4.6,48.2,1.43,0.23,0.11,168,0.25,108,48,25000
8,7.2,Dayton Audio,PS220-8,295-346,8,40,95.6,4.8,45.5,2.79,0.3,0.5,108,1.15,68,40,25000
4,3.125,Dayton Audio,RS100-8,295-352,8,30,85.6,3.5,87.5,0.09,0.55,0.06,136,0.17,67,87,20000
5,3.75,Dayton Audio,RS125-8,295-353,8,35,85.8,4,70,0.15,0.49,0.07,122,0.23,61,70,6000
6,4.1825,Dayton Audio,RS150-8,295-354,8,40,87.1,4,47.8,0.53,0.4,0.14,102,0.41,56,48,4200
7,5.75,Dayton Audio,RS180-8,295-355,8,60,87,6,42.4,0.73,0.37,0.16,98,0.43,56,42,3500
8,7.375,Dayton Audio,RS225-8,295-356,8,80,86.2,7,27.6,2.18,0.36,0.44,66,1.17,38,28,2200
10,9.375,Dayton Audio,RS270-8,295-357,8,100,87.5,6.6,24.9,4.26,0.4,1.34,50,4.16,27,25,1800
7,5.75,Dayton Audio,RS180S-8,295-364,8,60,87.6,6,43.7,0.76,0.45,0.17,99,0.49,56,40,2200
5,3.75,Dayton Audio,RS125-4,295-370,4,30,88,4,76,0.1,0.63,0.12,103,0.27,51,65,4500
6,4.8125,Dayton Audio,RS150-4,295-372,4,40,89,4.4,51.8,0.43,0.4,0.11,111,0.32,61,50,3000
7,5.75,Dayton Audio,RS180-4,295-374,4,60,88,6,40.4,0.87,0.5,0.42,69,1.33,35,40,2200
8,7.375,Dayton Audio,RS225-4,295-376,4,80,89,6,37.7,1.32,0.46,0.5,70,1.62,36,35,2000
4,3,Dayton Audio,RS100-4,295-378,4,30,84.2,4,80.2,0.07,0.48,0.03,143,0.1,72,80,20000
3,2.1875,Dayton Audio,RS75-4,295-380,4,15,83,1.1,154.1,0.01,0.78,0.02,174,0.04,93,150,20000
10,9.1875,Dayton Audio,TIT280C-4,295-414,4,400,85,18.7,29.6,1,0.44,0.34,58,1.05,30,28,400
10,9.25,Dayton Audio,RSS265HF-8,295-442,8,350,83.2,14.3,24.9,1.82,0.49,0.88,43,2.82,22,25,2000
12,11.125,Dayton Audio,RSS315HFA-8,295-445,8,400,84.5,14.3,24.9,2.67,0.53,1.54,40,4.63,20,25,1500
8,7.25,Dayton Audio,RSS210HF-4,295-456,4,280,83.5,9,28.3,1.14,0.5,0.55,48,1.76,24,27,1000
10,9.25,Dayton Audio,RSS265HF-4,295-460,4,350,84,12.3,26.2,1.59,0.44,0.53,51,1.68,27,22,1000
10,9.25,Dayton Audio,RSS265HO-4,295-462,4,600,84,12.3,30.3,0.81,0.37,0.71,70,0.47,40,24,600
12,11.125,Dayton Audio,RSS315HF-4,295-464,4,400,86,14.3,25,3.01,0.49,0.71,70,4.54,22,23,1000
12,11.125,Dayton Audio,RSS315HO-4,295-466,4,700,85,12.3,31.6,1.18,0.41,0.33,66,0.98,36,26,600
12,11.125,Dayton Audio,RSS315HO-44,295-467,2,700,83.2,14,20.9,2.12,0.38,0.49,47,1.36,27,20,500
15,14.125,Dayton Audio,RSS390HF-4,295-468,4,500,87,14,18,9.95,0.42,2.88,37,8.96,21,18,800
15,14.125,Dayton Audio,RSS390HO-4,295-469,4,800,87,12,24.2,3.87,0.39,0.95,3,2.72,30,21,600
15,14,Dayton Audio,DCS380-4,295-470,4,250,89,8.4,22.9,8.26,0.5,3.84,40,12.77,21,20,500
18,17,Dayton Audio,DCS450-4,295-475,4,300,91,8.25,24.9,9.89,0.47,3.85,46,13.01,25,22,500
8,7.125,Dayton Audio,SD215A-88 DVC,295-484,4,80,85.9,6,31,1.35,0.39,0.33,68,0.95,38,31,2500
10,9,Dayton Audio,SD270A-88 DVC,295-486,4,80,87.8,6,26.2,3.8,0.43,1.19,52,3.71,28,26,2000
12,10.75,Dayton Audio,SD315A-88 DVC,295-488,4,120,89.6,7,24.2,5.36,0.33,0.87,62,2.15,38,24,2000
5.25,5,Dynavox,LW5005PMR,295-600,8,100,86,2.45,55,0.24,0.41,0.07,115,0.2,63,55,6000
6.5,5.375,Dynavox,LW6004PMR,295-605,8,140,87,2.45,46,0.38,0.41,0.11,96,0.32,52,55,5000
8,7.75,Dynavox,LW8004PMR,295-610,8,150,88,3.4,45,1.03,0.59,0.87,65,2.2,32,45,5000
5.25,4.875,Aurum Cantus,AC-130F1,296-400,8,60,89,5,38,1.06,0.29,0.13,112,0.3,71,35,7000
5.25,4.875,Aurum Cantus,AC-130MKII,296-404,8,60,90,5,38,0.95,0.28,0.11,116,0.24,74,35,7000
6.5,5.875,Aurum Cantus,AC-165,296-410,8,60,89,5,32,1.95,0.32,0.3,85,0.7,53,32,8000
7,6.75,Aurum Cantus,AC-180F1,296-412,8,80,90,6,30,2.4,0.29,0.29,88,0.67,56,32,5000
7,6.75,Aurum Cantus,AC-180F1S DVC,296-414,8+8,80,90,6,36,2.11,0.43,0.66,72,2.06,38,37,6000
8,7.25,Aurum Cantus,AC-200MKII,296-420,8,200,90,8,26,2.47,0.18,0.11,124,0.22,83,25,3500
10,9.375,Aurum Cantus,AC-250MKII,296-434,8,200,90,8,23,6.86,0.41,1.88,48,5.69,27,23,3000
6,5.375,Morel,MW-164,297-030,8,150,86,4.25,48,0.51,0.55,0.34,75,0.95,36,45,6000
8,7.75,Morel,MW-266,297-040,8,150,89,4.25,29,2.83,0.56,1.95,44,5.46,22,28,2200
10,9,Morel,MW-1075,297-045,8,180,89,4.25,29,6.29,0.62,2.24,41,10.23,21,25,3000
8,7.75,Morel,H8.1,297-066,8,180,90,4.25,32,2.3,0.29,0.28,94,0.64,60,35,4000
6,5.51,Morel,Supreme SCW 636,297-114,6,150,87,5,40,0.65,0.29,0.08,118,0.18,75,30,5000
4,3.7,Morel,EW 428,297-120,8,150,87,4.5,62,0.17,0.35,0.03,151,0.08,90,55,5500
5,4.76,Morel,EW 536,297-122,6,150,88,5.5,45,0.36,0.22,0.02,175,0.05,115,40,4500
5,4.76,Morel,ECW 536,297-123,6,150,86,5.5,45,0.39,0.31,0.05,124,0.13,78,40,4500
6,5.51,Morel,EW 638,297-124,8,150,87,6,39,0.72,0.32,0.11,104,0.26,64,40,4000
6,5.51,Morel,ECW 638,297-125,8,150,88,6,39,0.67,0.29,0.08,115,0.19,73,40,4000
10,9.5,Morel,Ultimate UW 1058,297-130,8,500,85.8,12.5,26,1.44,0.43,0.45,52,1.41,28,20,1000
12,10.63,Morel,Ultimate UW 1258,297-132,8,800,87,12.5,21,4.89,0.43,1.53,42,4.77,23,20,800
12,11,Pioneer,TS-W308D4,297-264,4+4,400,92,10.3,34.5,1.22,0.62,1.26,48,2.87,24,20,180
10,9.375,Pioneer,TS-SW251,297-290,4,200,89,6.6,41.3,0.345,1.09,0.38,43,2.43,23,20,144
12,11,Pioneer,TS-SW301,297-292,4,250,91,10.8,34.9,0.702,1.02,0.85,36,4.34,20,20,114
10,3.625,Pioneer,TS-SW2501S4,297-295,4,300,90,5.5,41.6,0.36,0.93,0.5,44,1.86,24,20,260
12,3.875,Pioneer,TS-SW3001S4,297-297,4,400,93,5.8,35.1,0.703,0.74,1.33,41,2.33,22,20,230
6,5.375,Hi-Vi,D6G,297-420,8,120,85,5.25,47,0.44,0.51,0.23,79,0.71,39,38,2000
4,3.625,Hi-Vi,B4N,297-429,8,25,85,3.2,56,0.16,0.52,0.08,92,0.27,46,50,3000
4,3.9375,Hi-vi,M4N,297-434,8,20,82,3,69,0.15,1.08,0.17,71,1.04,39,70,8000
5,4.5,Hi-Vi,F5,297-435,8,35,86,2.75,52,0.32,0.41,0.09,108,0.27,59,45,5000
5,4.9375,Hi-Vi,M5N,297-436,8,35,85,2.5,50,0.34,0.42,0.1,102,0.31,55,50,6000
5,4.5,Hi-Vi,M5A,297-437,8,35,85,2.5,50,0.35,0.46,0.13,93,0.43,48,50,6000
5,5,Hi-Vi,D5.8,297-439,8,60,84,5,46,0.27,0.39,0.07,101,0.19,56,46,2500
6,5.875,Hi-Vi,F6,297-440,8,60,89,3.55,42,0.83,0.38,0.19,94,0.53,53,42,4000
6,5.3125,Hi-Vi,M6N,297-441,8,65,88,3.5,46,0.63,0.45,0.23,87,0.72,46,46,8000
6,5.875,Hi-Vi,M6A,297-442,8,45,88,3.5,47,0.66,0.43,0.21,93,0.64,50,47,4000
8,7.15625,Hi-Vi,F8,297-445,8,80,88,5,33,1.63,0.39,0.4,72,1.15,41,35,3000
8,7.375,Hi-Vi,M8N,297-446,8,80,86,5.8,29,1.89,0.45,0.67,55,2.15,29,29,2000
8,7.375,HI-VI,M8A,297-447,8,80,87,5.8,30,1.78,0.43,0.56,60,1.74,32,30,3000
8,7.9375,Hi-Vi,D8.8,297-449,8,150,87,8.3,30,1.66,0.38,0.38,67,1.07,38,159,8500
10,9.125,HI-VI,F10,297-450,8,120,90,6.5,28,3.02,0.31,0.43,77,0.99,48,28,8000
10,10.0625,HI-VI,D10.8,297-453,8,150,87,8.3,20,7.46,0.4,1.93,43,5.71,24,20,700
10,9.25,HI-VI,SP10,297-460,4,500,84,15.5,34,0.6,0.57,0.45,51,1.2,25,35,150
